ONCOTREE_CODE	NCIT_CODE	UMLS_CODE	ICDO_TOPOGRAPHY_CODE	ICDO_MORPHOLOGY_CODE	HEMEONC_CODE
TAC	C7041	C1112503	C18.9	8211/0	
BNNOS	C2910	C1458155	C50.9	8000/3	
JSCB	C4189	C0334371			
DIFG	C129325	CL512143	C72.9	9380/3	
ENCG			C72.9	8000/3	
BGCT	C5795	CL448320	C71.9	9064/3	
PCNSMT			C72.9	8000/3	
CELI	C128047	CL509701			
CERMS	C128048	CL509707			
MCCE			C53.9	8000/3	
EPDCA	C95612	C2987256	C15.9	8010/3	
SMN	C3751	C0206658	C16.9	8897/1	
LGT	C12346	C0022907			
OHNCA	C35850	C3887461	C76.0	8010/3	
HNMUCM	C133187	CL520085	C76.0	8746/3	
PTH	C4906	C0687150			
SBL	C35837	C1335911			
CCSK	C4264	C0334488			
RNET	C157743	CL937404	C64.9	8000/3	
MRTL	C96847	C3273076			
UESL	C27096	C0855073			
LAIS	C136486	CL523789	C34.9	8140/2	
MATPL			C42.4	9876/3	
MBGN			C42.4	8000/0	
MNM	C9290	C2939461	C42.4	8000/1	
EGCT	C3918	C3544268			
MIXED			C80.9	8000/3	
OOVC	C4908	C0677886	C56.9	8010/3	
GN	C3049	C0017075			
PSEC			C48.2	8461/3	
BCCP	C39902	C1514507			
AN	C3694	C0205748	C44.9	8727/0	
EMPSGC	C167364	CL978748	C44.9	8481/3	
AFH	C6494	C1266127			
IFS	C4244	C0334459			
LM	C3157	C0023267			
MGST	C4221	C1266111			
IMS	C3742	C0206648			
RCSNOS			C49.9	8803/3	
TMESO			C62.9	9050/3	
TNET			C37.9	8240/3	
OAT	C6042	C1336750	C73.9	8000/0	
OUTT			C55.9	8000/1	
VGCT	C128294	CL509570			
VPDC			C52.9	8010/3	
PAMPCA			C24.1	8163/3	
EHCH			C24.9	8160/3	
GBASC	C7356��	C1333741	C23.9	8560/3	
GBAD	C9166	C0279651	C23.9	8140/3	
SCGBC	C6763	C1333759			
CCHDM			C41.9	9370/3	
CTAAP			C18.1	8140/3	
CAIS			C18.9	8140/2	
BRCANOS			C50.9	8000/3	
BRCNOS	C9245	C0853879	C50.9	8010/3	
CSNOS			C50.9	8980/3	
EMBC	C40364	C1513365	C50.9	8575/3	
APXA	C129327	CL512339	C72.9	9424/3	
LGGNOS	C132067	C1997217	C72.9	9380/3	
BYST			C71.9	9071/3	
SFTCNS	C129526	CL512688	C72.9	8815/0	
HGNET			C72.9	8010/3	
LGNET			C72.9	8010/3	
MELC	C9498	C0334431			
APTAD	C132296	CL520582	C75.1	8140/1	
ACPG	C4726	C0431129	C72.9	9351/1	
PCGP	C4725	C0431128	C72.9	9352/1	
CESE			C53.9	8441/3	
GRC			C16.9	8140/3	
ASCT			C02.9	8560/3	
HNNE			C76.0	8246/3	
HNSCUP			C76.0	8070/3	
PTHC	C4906	C0687150	C75.0	8010/3	
HNMASC	C123384	CL512709	C08.9	8502/3	
OSACA			C08.9	8010/3	
NCCRCC			C64.9	8010/3	
CMPT			C34.9	8050/3	
NUTCL	C146706	CL544717			
NSCLCPD			C34.9	8046/3	
SGTTL			C34.9	8200/3	
ALAL	C7464	C1301357	C42.4	9801/3	
MCD	C84269	C0024899			
MDS/MPN	C27262	C1301355	C42.4	9975/3	
MNGLP	C130038	CL514062			
MLNER	C84270	C2827356			
ACN	C3768	C0206685	C80.9	8550/3	
CUPNOS			C80.9	8000/3	
NECNOS	C3773	C0206695	C80.9	8246/3	
PDC			C80.9	8010/3	
SCUP	C3915	C0262584	C80.9	8042/3	
HGONEC	C5238	C1335174	C56.9	8246/3	
HGSFT			C57.0	8461/3	
OCNOS	C4515	C0346181			
OSMAD	C4508	C0346166			
SBMOV	C122585	C4055371	C56.9	8460/3	
FT	C3405	C0039747	C56.9	8600/0	
SCT	C4215	C0334412	C56.9	8670/0	
ITPN	C95506	C2987189			
PLBMESO	C45665	C1709570	C38.4	9053/3	
PLEMESO	C45662	C1709574	C38.4	9052/3	
PLSMESO	C45663	C1709578	C38.4	9050/3	
MUP	C154473	CL555395	C80.9	8720/3	
SPZM	C165497	C3495721	C44.9	8772/3	
UPDC			C55.9	8010/3	
UDDC			C55.9	8010/3	
UMNC			C55.9	9110/3	
UMEC			C54.1	8010/3	
UNEC	C126771	CL508215	C55.9	8246/3	
OUSARC			C55.9	8800/3	
VOEC	C3752	C0206659	C57.9	9070/3	
VPE	C8109				
GCEMU			C53.9	8480/3	
SPDAC			C16.9	8010/3	
SCCRCC	C27893	C1266043	C64.9	8318/3	
CCPRC	C121955	C4054076	C64.9	8050/3	
FHRCC	C164156	CL977349	C64.9	8312/3	
BLLRGA	C80328	C2698313	C42.4	9811/3	
BLLNOS	C80326	C2698310	C42.4	9811/3	
CHLPTLD	C7243	C1334037			
FHPTLD	C139028	CL526535			
IMPTLD	C7236	C1334174			
MPTLD	C7233	C1334798			
PHPTLD	C7235	C1335428			
PPTLD	C7183	C1301361			
ETPLL	C130043	CL514044	C42.4	9837/3	
NKCLL	C82217	C2826059			
AUL	C9298	C1378511	C42.4	9801/3	
MPALBCRABL1	C82192	C2826037	C42.4	9806/3	
MPALKMT2A	C82203	C2826048	C42.4	9807/3	
MPALBNOS	C82212	C3472616	C42.4	9808/3	
MPALTNOS	C82213	C2826055	C42.4	9809/3	
AMLMRC	C7600	C2825139	C42.4	9895/3	
AMLRGA	C7175	C1275661	C42.4	9861/3	
AMLNOS	C27753	CL054841	C42.4	9861/3	
MPRDS	C82338	C2826104			
MS	C3520	CL414320	C42.4	9930/3	
TMN	C27912	C1292776	C42.4	9920/3	
JXG	C81772	C2825742	C42.4	8000/3	
FRCT	C81758	C2825739			
HS	C27349	C0334663			
IDCT	C81767	C2825741			
CMCD	C7137	C1136033			
MCSL	C9348	C0036221			
MDSEB	C7506	C0002894	C42.4	9983/3	
MDSID5Q	C6867	C1292779	C42.4	9986/3	
MDSMD	C8574	C0796466	C42.4	9985/3	
MDSRS	C82616	C2826330	C42.4	9982/3	
MDSSLD	C82591	C2826318	C42.4	9989/3	
MDSU	C8648	C0854809	C42.4	9989/3	
RCYC	C82596	C2826323			
ACML	C3519	C0349640	C42.4	9876/3	
JMML	C9233	C0349639	C42.4	9946/3	
MDSMPNRST	C82616	C2826330	C42.4	9982/3	
MDSMPNU	C27780	C1328061	C42.4	9975/3	
MLNFGFR1	C84277	C2827362			
MLNPCM1JAK2	C129853	CL512939			
MLNPDGFRA	C84275	C2827360	C42.4	9965/3	
MLNPDGFRB	C84276	C3472621			
CELNOS	C4563	C0346421	C42.4	9964/3	
CNL	C3179	C0023481	C42.4	9963/3	
MPNU	C27350	C1333046	C42.4	8000/0	
BTBEOV	C4746	C0474834			
BTBOV	C9459	C0334494			
BTMOV	C4270	C0334495			
HGESS	C126998	CL508195	C54.1	8930/3	
ABC	C36081	C1333296			
GCB	C38335	C1517532	C42.4	9680/3	
DFL	C138185	CL525720			
ISFN	C138181	CL525716			
ISMCL	C138191	CL525722			
MGUSIGA	C565	C0020835			
MGUSIGG	C568	C0020852			
MGUSIGM	C569	C0020861			
MIDDO	C7151	CL357425			
HCL-V	C7401	C0349633			
SDRPL	C80309	C2699508			
ALCLALKN	C37194	C1332078			
ALCLALKP	C37193	C1332079			
BIALCL	C139012	CL526545	C42.4	9702/3	
LYP	C3721	C0206182			
PCALCL	C6860	C1301362			
BLLHYPER	C80335	C2698311	C42.4	9815/3	
BLLHYPO	C80338	C2698312	C42.4	9816/3	
BLLIAMP21	C130039	CL513772			
BLLETV6RUNX1	C80334	C2698314			
BLLTCF3PBX1	C80341	C2698315	C42.4	9818/3	
BLLIL3IGH	C80340	C2698316			
BLLKMT2A	C80332	C2698309	C42.4	9813/3	
BLLBCRABL1L	C129788	CL512918			
LDCHL	C9283	C0152267			
LRCHL	C6913	C1266194			
MCCHL	C3517	C0152266			
NSCHL	C3518	C0152268			
ALKLBCL	C7225	C1333294			
AHCD	C3132	C0021071			
BCLU	C37869	C1333878			
BPLL	C4753	C0475801			
BLL11Q	C131911	CL520452			
DLBCLCI	C80289	C2699776			
EBVDLBCLNOS	C80281	C2700007	C42.4	9680/3	
EBVMCU	C131906	CL519556			
EP	C4002	C0278619			
GHCD	C3083	C0018854			
HHV8DLBCL	C138320	CL525847			
HGBCL	C80291	C2698294			
HGBCLMYCBCL2	C131913	CL524351	C42.4	9680/3	
IVBCL	C4342	C0334660			
LBLIRF4	C133494	CL521195			
LYG	C7930	C0024307			
LPL	C3212	C0334633			
MCBCL	C80310	C2698259			
MGUS	C3996	C0026470			
MIDD	C7151	CL357425			
MHCD	C3892	C0242310			
PTFL	C80297	C2698750			
PLBL	C7224	C3472614			
PCLBCLLT	C45194	C1709656			
PCFCL	C7217	C1333171			
SPB	C7812	C0272256			
SBLU	C80308	C2699507			
THRLBCL	C9496	C1321547	C42.4	9688/3	
ANKL	C8647	C1292777			
CLPDNK	C39591	C1512709			
EATL	C4737	C0456889			
FTCL	C80375	C2700204			
HSTCL	C8459	C0522627			
HVLL	C45327	C1708397			
ITLPDGI	C139021	CL526526			
MEITL	C96058	C3272525			
NPTLTFH	C139011	CL526546			
PCATCL	C139023	CL526531			
PCLPD	C7195	C1371159			
PCSMTPLD	C45366	CL524855			
PCAECTCL	C45339	C1709653	C42.4	9709/3	
PCGDTCL	C45340	C1707547			
SPTCL	C6918	C0522624			
SEBVTLC	C80374	C2699747			
AMLRBM15MKL1	C82427	C2826173			
AMLBCRABL1	C129785	CL512855	C42.4	9861/3	
AMLCEBPA	C129782	CL512856	C42.4	9861/3	
AMLRUNX1	C129786	CL512858			
AMLRARA	C36055	C2825128			
AMLCBFBMYH11	C9287	C0522630	C42.4	9871/3	
AMLGATA2MECOM	C82426	C2826172	C42.4	9869/3	
AMLDEKNUP214	C82423	C2826169	C42.4	9865/3	
AMLRUNX1RUNX1T1	C9288	C1292774	C42.4	9896/3	
AMLMLLT3KMT2A	C156719	CL935859	C42.4	9897/3	
AM	C7961	C0279624	C42.4	9874/3	
AMLMD	C8460	C0522631	C42.4	9872/3	
AWM	C9380	C0279623	C42.4	9873/3	
ABL	C3164	C0023437			
AMKL	C3170	C0023462	C42.4	9910/3	
AMML	C7463	C0023479	C42.4	9867/3	
APMF	C4344	C0334674	C42.4	9931/3	
PERL	C7467	CL028054	C42.4	9840/3	
MLADS	C43223	C2825149			
TAM	C82339	C1834582			
TAML	C8252	C1336735	C42.4	9920/3	
TMDS	C27722	C1292780	C42.4	9987/3	
ASM	C9285	C1112486			
ISM	C9286	C0272203	C42.4	9741/1	
SMMCL	C3169	C0023461			
SSM	C115460	CL388369			
SMAHN	C9284	C1301365	C42.4	9741/3	
MDSEB1	C7167	CL514065	C42.4	9983/3	
MDSEB2	C7168	CL514066	C42.4	9983/3	
MDSRSMD	C27726	C1301356	C42.4	9982/3	
MDSRSSLD	C130037	CL514168	C42.4	9982/3	
CMML0	C130035	CL513815	C42.4	9945/3	
CMML1	C36061	C1333043	C42.4	9945/3	
CMML2	C36062	C1333044	C42.4	9945/3	
CMLBCRABL1	C9128	C1292771	C42.4	9876/3	
PMFPES	C41237	C1516553	C42.4	9961/3	
PMFOFS	C41238	C1516552	C42.4	9961/3	
