Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
HNMUCM	DarkRed	Head and Neck Mucosal Melanoma	Melanoma			Head and Neck	HEAD_NECK
SCRMS	LightYellow	Spindle Cell Rhabdomyosarcoma	Soft Tissue Sarcoma	C1266134	C6519	Soft Tissue	RMS
MPTLD	LimeGreen	Monomorphic PTLD (B- and T-/NK-cell types)	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
BTBOV	LightBlue	Brenner Tumor, Borderline	Ovarian Cancer			Ovary/Fallopian Tube	BTOV
BLLBCRABL1L	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with BCR-ABL1 Like Features	B-Cell Lymphoid Proliferations and Lymphomas	C4329382	C129787	Hematopoietic	BLL
VPDC	Purple	Poorly Differentiated Vaginal Carcinoma	Vaginal Cancer			Vulva/Vagina	VULVA
EGCT	Black	Extra Gonadal Germ Cell Tumor	Germ Cell Tumor			Other	OTHER
GBASC	Green	Adenosquamous Carcinoma of the Gallbladder	Hepatobiliary Cancer			Biliary Tract	GBC
HGNES	LightSkyBlue	High-Grade Neuroendocrine Carcinoma of the Stomach	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach			Esophagus/Stomach	GINETES
SEBA	Black	Sebaceous Carcinoma	Skin Cancer, Non-Melanoma	C0206684	C40310	Skin	SKIN
AIS	Black	Adenocarcinoma In Situ	Adenocarcinoma In Situ	C0334276	C4123	Other	OTHER
BTBEOV	LightBlue	Brenner Tumor, Benign	Ovarian Cancer			Ovary/Fallopian Tube	BTOV
IMT	LightYellow	Inflammatory Myofibroblastic Tumor	Soft Tissue Sarcoma	C0334121	C6481	Soft Tissue	SOFT_TISSUE
CHLPTLD	LimeGreen	Classic Hodgkin Lymphoma PTLD	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
AGA	SaddleBrown	Anal Gland Adenocarcinoma	Anal Cancer	C1266027	C5609	Bowel	BOWEL
PPCT	Black	Proliferating Pilar Cystic Tumor	Skin Cancer, Non-Melanoma	C0345992		Skin	SKIN
HGESS	PeachPuff	High-Grade Endometrial Stromal Sarcoma	Uterine Sarcoma			Uterus	ESS
BLLIAMP21	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with iAMP21	B-Cell Lymphoid Proliferations and Lymphomas	C4329384	C130039	Hematopoietic	BLL
JSCB	HotPink	Juvenile Secretory Carcinoma of the Breast	Breast Cancer			Breast	BREAST
BREAST	HotPink	Breast	Breast Cancer	C0006141	C12971	Tissue	TISSUE
AMBLNWSG4	Gray	Anaplastic Medulloblastoma, Group 4	Large Cell/Anaplastic Medulloblastoma			CNS/Brain	AMBLNWS
AMBLNWS	Gray	Anaplastic Medulloblastoma, Non-WNT, Non-SHH	Large Cell/Anaplastic Medulloblastoma			CNS/Brain	AMBL
TET	Purple	Thymic Epithelial Tumor	Thymic Tumor	C1266101	C6450	Thymus	THYMUS
PCM	LimeGreen	Plasma Cell Myeloma	B-Cell Lymphoid Proliferations and Lymphomas	C0026764	C3242	Hematopoietic	PCN
BMT	Gray	Mature Teratoma	Germ Cell Tumor	C1332886	C7013	CNS/Brain	BGCT
BGCT	Gray	Germ Cell Tumors	Germ Cell Tumor			CNS/Brain	BRAIN
CERMS	Teal	Cervical Rhabdomyosarcoma	Cervical Cancer			Cervix	CERVIX
CERVIX	Teal	Cervix	Cervical Cancer	C0007874	C12311	Tissue	TISSUE
SCBC	Yellow	Small Cell Bladder Cancer	Bladder Cancer	C1332564	C9461	Bladder/Urinary Tract	BLADDER
BLADDER	Yellow	Bladder/Urinary Tract	Bladder/Urinary Tract Cancer	C0005682	C12414	Tissue	TISSUE
NST	Gray	Nerve Sheath Tumor	Nerve Sheath Tumor	C0206727	C4972	Peripheral Nervous System	PNS
ONBL	Gray	Olfactory Neuroblastoma	Embryonal Tumor	C0206717	C3789	CNS/Brain	EMBT
EMBT	Gray	Embryonal Tumor	Embryonal Tumor	C0027654	C3264	CNS/Brain	BRAIN
UASC	PeachPuff	Uterine Adenosquamous Carcinoma	Endometrial Cancer	C0346202	C4519	Uterus	UCEC
UCEC	PeachPuff	Endometrial Carcinoma	Endometrial Cancer	C0476089	C7558	Uterus	UTERUS
PENIS	Blue	Penis	Penile Cancer	C0030851	C12409	Tissue	TISSUE
LIMNET	MediumSeaGreen	Malignant Nonepithelial Tumor of the Liver	Hepatobiliary Cancer			Liver	LIVER
DTE	Black	Desmoplastic Trichoepithelioma	Skin Cancer, Non-Melanoma	C0432526	C27524	Skin	SKIN
AMBLNOS	Gray	Anaplastic Medulloblastoma, NOS	Large Cell/Anaplastic Medulloblastoma			CNS/Brain	AMBL
AMBL	Gray	Large Cell/Anaplastic Medulloblastoma	Embryonal Tumor	C1266180	C6904	CNS/Brain	EMBT
BMGCT	Gray	Mixed Germ Cell Tumor	Germ Cell Tumor	C0334524	C4290	CNS/Brain	BGCT
ALCL	LimeGreen	Anaplastic Large Cell Lymphoma	Mature T and NK Neoplasms	C0206180	C3720	Hematopoietic	MTNN
UTUC	Yellow	Upper Tract Urothelial Carcinoma	Bladder Cancer	C0220648	C7716	Bladder/Urinary Tract	BLADDER
PNET	Gray	Primitive Neuroectodermal Tumor	Embryonal Tumor	C0206663	C3716	CNS/Brain	EMBT
CESC	Teal	Cervical Squamous Cell Carcinoma	Cervical Cancer	C0279671	C4028	Cervix	CERVIX
LYMPH	LimeGreen	Lymphoid	Lymphatic Cancer	C0024202	C13252	Hematopoietic	HEMATOPOIETIC
PSCC	Blue	Penile Squamous Cell Carcinoma	Penile Cancer	C0238348	C7729	Penis	PENIS
ADRENAL_GLAND	Purple	Adrenal Gland	Adrenal Gland Cancer	C0001625	C12666	Tissue	TISSUE
THYC	Purple	Thymic Carcinoma	Thymic Tumor	C0205969	C7569	Thymus	TET
EMPSGC	Black	Endocrine Mucin Producing Sweat Gland Carcinoma	Skin Cancer, Non-Melanoma			Skin	SKIN
IMMC	HotPink	Breast Invasive Mixed Mucinous Carcinoma	Breast Cancer	C1334807	C9131	Breast	BRCA
UCS	PeachPuff	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Endometrial Cancer	C0280630	C42700	Uterus	UCEC
MBLSHH	Gray	Medulloblastoma, SHH Subtype	Medulloblastoma			CNS/Brain	MBLMD
MBL	Gray	Medulloblastoma	Embryonal Tumor	C0025149	C3222	CNS/Brain	EMBT
AMLRBM15MKL1	LightSalmon	AML with RBM15-MRTFA Fusion	Leukemia	C2826173	C82427	Hematopoietic	AMLRGA
CEGCC	Teal	Glassy Cell Carcinoma of the Cervix	Cervical Cancer	C1516407	C40212	Cervix	CERVIX
URCA	Yellow	Urachal Carcinoma	Bladder Cancer	C1511205	C39842	Bladder/Urinary Tract	BLADDER
EMPD	Black	Extramammary Paget Disease	Skin Cancer, Non-Melanoma	C0030186	C3302	Skin	SKIN
APXA	Gray	Anaplastic Pleomorphic Xanthoastrocytoma	Glioma			CNS/Brain	ENCG
ENCG	Gray	Encapsulated Glioma	Glioma			CNS/Brain	BRAIN
NFIB	Gray	Neurofibroma	Nerve Sheath Tumor	C0027830	C3272	Peripheral Nervous System	CPSNT
ACA	Purple	Adrenocortical Adenoma	Adrenocortical Adenoma	C0206667	C9003	Adrenal Gland	ADRENAL_GLAND
AITL	LimeGreen	Nodal T Follicular Helper Cell Lymphoma, Angioimmunoblastic Type	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C0020981	C7528	Hematopoietic	FTCL
ODG	Gray	Oligodendroglioma, IDH-mutant, and 1p/19q-Codeleted	Glioma	C0751396	C3288	CNS/Brain	ADIFG
SPC	HotPink	Solid Papillary Carcinoma of the Breast	Breast Cancer	C1336027	C6870	Breast	BRCA
THYM	Purple	Thymoma	Thymic Tumor	C0040100	C3411	Thymus	TET
HL	LimeGreen	Hodgkin Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0019829	C9357	Hematopoietic	BLPL
UCCC	PeachPuff	Uterine Clear Cell Carcinoma	Endometrial Cancer	C1332912	C6344	Uterus	UCEC
NCCRCC	Orange	Renal Non-Clear Cell Carcinoma	Renal Cell Carcinoma			Kidney	RCC
BPSCC	Blue	Basaloid Penile Squamous Cell Carcinoma	Penile Cancer	C1332462	C6980	Penis	PSCC
UCA	Yellow	Urethral Cancer	Bladder Cancer	C0700101	C9106	Bladder/Urinary Tract	BLADDER
PTCL	LimeGreen	Peripheral T-Cell lymphoma, NOS	Mature T and NK Neoplasms	C0079774	C4340	Hematopoietic	OPTL
MEL	Black	Melanoma	Melanoma	C0025202	C3224	Skin	SKIN
UA	Yellow	Urachal Adenocarcinoma	Bladder Cancer	C1511204	C39843	Bladder/Urinary Tract	URCA
UDDC	PeachPuff	Uterine Dedifferentiated Carcinoma	Endometrial Cancer			Uterus	UCEC
ACC	Purple	Adrenocortical Carcinoma	Adrenocortical Carcinoma	C0206686	C9325	Adrenal Gland	ADRENAL_GLAND
SCHW	Gray	Schwannoma	Nerve Sheath Tumor	C0027809	C3269	Peripheral Nervous System	CPSNT
CHRCC	Orange	Chromophobe Renal Cell Carcinoma	Renal Cell Carcinoma	C1266042	C4146	Kidney	NCCRCC
OMGCT	LightBlue	Mixed Germ Cell Tumor	Germ Cell Tumor	C0280135	C8114	Ovary/Fallopian Tube	OGCT
AMLCEBPA	LightSalmon	AML with CEBPA Mutation	Leukemia	C5230404	C129782	Hematopoietic	AMLRGA
IBC	HotPink	Inflammatory Breast Cancer	Breast Cancer	C0278601	C4001	Breast	BREAST
ISFN	LimeGreen	In Situ Follicular B-Cell Neoplasm	B-Cell Lymphoid Proliferations and Lymphomas	C4524188	C138181	Hematopoietic	FL
FL	LimeGreen	Follicular Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0024301	C3209	Hematopoietic	MBN
VPSCC	Blue	Verrucous Penile Squamous Cell Carcinoma	Penile Cancer	C1336955	C6982	Penis	PSCC
TNET	Purple	Thymic Neuroendocrine Tumor	Thymic Tumor			Thymus	THYMUS
PMA	Gray	Pilomyxoid Astrocytoma	Glioma	C1519086	C40315	CNS/Brain	ENCG
PAST	Gray	Pilocytic Astrocytoma	Glioma	C0334583	C4047	CNS/Brain	CAG
CSCHW	Gray	Cellular Schwannoma	Nerve Sheath Tumor	C0431124	C4724	Peripheral Nervous System	SCHW
UEC	PeachPuff	Uterine Endometrioid Carcinoma	Endometrial Cancer	C1336905	C6287	Uterus	UCEC
PHC	Purple	Pheochromocytoma	Pheochromocytoma	C0031511	C3326	Adrenal Gland	ADRENAL_GLAND
WPSCC	Blue	Warty Penile Squamous Cell Carcinoma	Penile Cancer	C1337009	C6981	Penis	PSCC
LCIS	HotPink	Breast Lobular Carcinoma In Situ	Breast Cancer	C0279563	C4018	Breast	BREAST
NLPHL	LimeGreen	Nodular Lymphocyte-Predominant Hodgkin Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1334968	C7258	Hematopoietic	HL
ACRM	Black	Acral Melanoma	Melanoma	C0346037	C4022	Skin	MEL
SCSRMS	LightYellow	Spindle Cell/Sclerosing Rhabdomyosarcoma	Soft Tissue Sarcoma	CL494117		Soft Tissue	RMS
AMLNPM1	LightSalmon	AML with NPM1 Mutation	Leukemia	C2826177	C82431	Hematopoietic	AMLRGA
CCPRC	Orange	Clear Cell Papillary Renal Cell Carcinoma	Renal Cell Carcinoma			Kidney	NCCRCC
THYROID	Teal	Thyroid	Thyroid Cancer	C0040132	C12400	Tissue	TISSUE
DFL	LimeGreen	Duodenal-Type Follicular Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C4524187	C138185	Hematopoietic	FL
OPE	LightBlue	Polyembryoma	Germ Cell Tumor	C1514199	C39990	Ovary/Fallopian Tube	OGCT
AMPCA	Purple	Ampullary Carcinoma	Ampullary Cancer	C0262401	C3908	Ampulla of Vater	AMPULLA_OF_VATER
AMPULLA_OF_VATER	Purple	Ampulla of Vater	Ampullary Carcinoma	C0042425	C13011	Tissue	TISSUE
MSCHW	Gray	Melanotic Schwannoma	Nerve Sheath Tumor	C1306247	C6970	Peripheral Nervous System	SCHW
THAP	Teal	Anaplastic Thyroid Cancer	Thyroid Cancer	C0238461	C3878	Thyroid	THYROID
CDRCC	Orange	Collecting Duct Renal Cell Carcinoma	Renal Cell Carcinoma	C1266044	C6194	Kidney	NCCRCC
BNNOS	HotPink	Breast Neoplasm, NOS	Breast Cancer			Breast	BREAST
UMNC	PeachPuff	Uterine Mesonephric Carcinoma	Endometrial Cancer			Uterus	UCEC
PCGP	Gray	Craniopharyngioma, Papillary Type	Sellar Tumor			CNS/Brain	SELT
SELT	Gray	Sellar Tumor	Sellar Tumor	C0748616	C4944	CNS/Brain	BRAIN
OYST	LightBlue	Yolk Sac Tumor	Germ Cell Tumor	C0346188	C8107	Ovary/Fallopian Tube	OGCT
RCSNOS	LightYellow	Round Cell Sarcoma, NOS	Soft Tissue Sarcoma			Soft Tissue	SOFT_TISSUE
PTFL	LimeGreen	Pediatric-Type Follicular Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C2698750	C80297	Hematopoietic	FL
IAMPCA	Purple	Intestinal Ampullary Carcinoma	Ampullary Cancer	C1332247	C27415	Ampulla of Vater	AMPCA
BL	LimeGreen	Burkitt Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0006413	C2912	Hematopoietic	MBN
GB	Gray	Glioblastoma, IDH-Wildtype	Glioma	C0017636	C3058	CNS/Brain	ADIFG
THHC	Teal	Hurthle Cell Thyroid Cancer	Thyroid Cancer	C0749424	C4946	Thyroid	THYROID
MBC	HotPink	Metaplastic Breast Cancer	Breast Cancer	C1334708	C5164	Breast	BREAST
LBLIRF4	LimeGreen	Large B-Cell Lymphoma with IRF4 Rearrangement	B-Cell Lymphoid Proliferations and Lymphomas	C4524676	C133494	Hematopoietic	LBL
OGBL	LightBlue	Gonadoblastoma	Sex Cord Stromal Tumor	C1518716	C39985	Ovary/Fallopian Tube	SCST
SCST	LightBlue	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	C0600113	C4862	Ovary/Fallopian Tube	OVARY
GCT	Gray	Granular Cell Tumor	Sellar Tumor	C0085167	C3474	CNS/Brain	SELT
PRCC	Orange	Papillary Renal Cell Carcinoma	Renal Cell Carcinoma	C1306837	C6975	Kidney	NCCRCC
PEMESO	Green	Peritoneal Mesothelioma	Mesothelioma	C1377610	C7633	Peritoneum	PERITONEUM
HPHSC	DarkRed	Hypopharynx Squamous Cell Carcinoma	Head and Neck Cancer	C0280321	C4043	Head and Neck	HNSC
SARCNOS	LightYellow	Sarcoma, NOS	Soft Tissue Sarcoma			Soft Tissue	SOFT_TISSUE
CLLSLL	LimeGreen	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0855095	C7540	Hematopoietic	PNNSLP
AMLBCRABL1	LightSalmon	AML with BCR-ABL1 Fusion	Leukemia	C4329268	C129785	Hematopoietic	AMLRGA
PLMESO	Blue	Pleural Mesothelioma	Mesothelioma	C1377913	C9351	Pleura	PLEURA
PLEURA	Blue	Pleura	Pleural Cancer	C0032225	C12469	Tissue	TISSUE
MAMPCA	Purple	Mixed Ampullary Carcinoma	Ampullary Cancer			Ampulla of Vater	AMPCA
MASCC	HotPink	Metaplastic Adenocarcinoma with Spindle Cell Differentiation	Breast Cancer	C1519487	C40358	Breast	EMBC
EMBC	HotPink	Epithelial Type Metaplastic Breast Cancer	Breast Cancer			Breast	MBC
AMLMRC	LightSalmon	AML, Myelodysplasia-Related	Leukemia	C2825139	C7600	Hematopoietic	AMLRGA
AML	LightSalmon	Acute Myeloid Leukemia	Leukemia	C0023467	C3171	Hematopoietic	MNM
RAML	Orange	Renal Angiomyolipoma	Renal Cell Carcinoma	C0241961	C3888	Kidney	NCCRCC
SFT	LightYellow	Solitary Fibrous Tumor/Hemangiopericytoma	Soft Tissue Sarcoma	C1266119	C7634	Soft Tissue	SOFT_TISSUE
PCFCL	LimeGreen	Primary Cutaneous Follicle Center Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1333171	C7217	Hematopoietic	CFCL
NUTCL	Gainsboro	NUT Carcinoma of the Lung	Non-Small Cell Lung Cancer			Lung	NSCLC
OCSC	DarkRed	Oral Cavity Squamous Cell Carcinoma	Head and Neck Cancer	C0585362	C4833	Head and Neck	HNSC
PTCY	Gray	Pituicytoma	Sellar Tumor	C2986550	C94524	CNS/Brain	SELT
HTAT	Teal	Hyalinizing Trabecular Adenoma of the Thyroid	Thyroid Cancer	C1266049	C6846	Thyroid	THYROID
EOV	LightBlue	Endometrioid Ovarian Cancer	Ovarian Cancer	C0346163	C7979	Ovary/Fallopian Tube	OVT
MCBCL	LimeGreen	Monoclonal B-Cell Lymphocytosis	Mature B-Cell Neoplasms	C2698259	C80310	Hematopoietic	PNNSLP
BCLU	LimeGreen	Mediastinal Grey Zone Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1333878	C179721	Hematopoietic	LBL
ALCLALKP	LimeGreen	ALK-Positive Anaplastic Large-Cell Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1332079	C37193	Hematopoietic	ALCL
MPALBNOS	LightSalmon	Mixed Phenotype Acute Leukemia, B/Myeloid	Leukemia	C3472616	C82212	Hematopoietic	ALALDI
MT	Gray	Malignant Tumor	Miscellaneous Brain Tumor	C0006826	C9305	CNS/Brain	MBT
MSTAD	LightSkyBlue	Mucinous Stomach Adenocarcinoma	Esophagogastric Cancer	C1334809	C5248	Esophagus/Stomach	STAD
MPE	Gray	Myxopapillary Ependymoma	CNS Cancer	C0205769	C3697	CNS/Brain	EPMT
EPMT	Gray	Ependymomal Tumor	CNS Cancer	C1333407	C6770	CNS/Brain	GGNT
LCLC	Gainsboro	Large Cell Lung Carcinoma	Non-Small Cell Lung Cancer	C0345958	C4450	Lung	NSCLC
COAD	SaddleBrown	Colon Adenocarcinoma	Colorectal Cancer	C0338106	C4349	Bowel	COADREAD
DDCHDM	White	Dedifferentiated Chordoma	Bone Cancer	C1266174	C48876	Bone	CHDM
ACPG	Gray	Craniopharyngioma, Adamantinomatous Type	Sellar Tumor			CNS/Brain	SELT
AMML	LightSalmon	Acute Myelomonocytic Leukemia	Leukemia	C0023479	C7463	Hematopoietic	AMLNOS
AMLNOS	LightSalmon	AML Defined by Differentiation	Leukemia	C0023467	C27753	Hematopoietic	AML
MPALTNOS	LightSalmon	Mixed Phenotype Acute Leukemia, T/Myeloid	Leukemia	C2826055	C82213	Hematopoietic	ALALDI
BLCLC	Gainsboro	Basaloid Large Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1332463	C7266	Lung	LCLC
AMOL	LightSalmon	Acute Monocytic Leukemia	Leukemia	C0023465	C4861	Hematopoietic	AMLNOS
PSTAD	LightSkyBlue	Papillary Stomach Adenocarcinoma	Esophagogastric Cancer	C1333785	C5472	Esophagus/Stomach	STAD
SUBE	Gray	Subependymoma	CNS Cancer	C0206725	C3795	CNS/Brain	EPMT
GCEMU	Teal	Gastric Type Mucinous Carcinoma	Cervical Cancer			Cervix	CEMU
CEMU	Teal	Mucinous Carcinoma	Cervical Cancer	C0007130	C26712	Cervix	CEAD
ES	White	Ewing Sarcoma	Bone Cancer	C0553580	C4817	Bone	BONE
MCHSCNS	Gray	Mesenchymal Chondrosarcoma of the CNS	Miscellaneous Brain Tumor	C0206637	C3737	CNS/Brain	MBT
PANEC	Purple	Pancreatic Neuroendocrine Carcinoma	Pancreatic Cancer			Pancreas	PANCREAS
TPLL	LimeGreen	T-Prolymphocytic Leukemia	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C2363142	C4752	Hematopoietic	MTNL
MLNER	LightSalmon	Myeloid/Lymphoid Neoplasms with Eosinophilia and Tyrosine Kinase Gene Fusions	Leukemia	C2827356	C84270	Hematopoietic	MLN
BCCA	Gray	Choriocarcinoma	Germ Cell Tumor	C0008497	C2948	CNS/Brain	BGCT
ICEMU	Teal	Intestinal Type Mucinous Carcinoma	Cervical Cancer	C1516422	C40203	Cervix	CEMU
CCLC	Gainsboro	Clear Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1707407	C4451	Lung	LCLC
SMZL	LimeGreen	Splenic Marginal Zone Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0349632	C4663	Hematopoietic	SBLU
MZL	LimeGreen	Marginal Zone Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1367654	C4341	Hematopoietic	MBN
GCTB	White	Giant Cell Tumor of Bone	Bone Cancer	C0206638	C121932	Bone	BONE
PBT	Gray	Primary Brain Tumor	Miscellaneous Brain Tumor	C0750974	C4952	CNS/Brain	MBT
TSTAD	LightSkyBlue	Tubular Stomach Adenocarcinoma	Esophagogastric Cancer	C1333791	C5473	Esophagus/Stomach	STAD
MLNPDGFRA	LightSalmon	Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement	Leukemia	C2827360	C84275	Hematopoietic	MLNER
DMBLSHH	Gray	Desmoplastic/Nodular Medulloblastoma, SHH Subtype	Desmoplastic/Nodular Medulloblastoma			CNS/Brain	DMBL
DMBL	Gray	Desmoplastic/Nodular Medulloblastoma	Embryonal Tumor	C0751291	C4956	CNS/Brain	MBLHD
CLPDNK	LimeGreen	NK-Large Granular Lymphocytic Leukemia	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1512709	C39591	Hematopoietic	MTNL
BLCA	Yellow	Bladder Urothelial Carcinoma	Bladder Cancer	C0279680	C39851	Bladder/Urinary Tract	BLADDER
WM	LimeGreen	Waldenstrom Macroglobulinemia	Mature B-Cell Neoplasms	C0024419	C80307	Hematopoietic	LPL
LPL	LimeGreen	Lymphoplasmacytic Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0334633	C3212	Hematopoietic	MBN
AFX	Black	Atypical Fibroxanthoma	Skin Cancer, Non-Melanoma	C0346053	C4246	Skin	SKIN
SCEMU	Teal	Signet Ring Mucinous Carcinoma	Cervical Cancer	C1516424	C40205	Cervix	CEMU
OS	White	Osteosarcoma	Bone Cancer	C0029463	C9145	Bone	BONE
PRNET	Gray	Primary Neuroepithelial Tumor	Miscellaneous Brain Tumor	C0206715	C3787	CNS/Brain	MBT
GCLC	Gainsboro	Giant Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	C0345960	C4452	Lung	LCLC
USTAD	LightSkyBlue	Undifferentiated Stomach Adenocarcinoma	Esophagogastric Cancer	C1336858	C5476	Esophagus/Stomach	EGC
DMBLNOS	Gray	Desmoplastic/Nodular Medulloblastoma, NOS	Desmoplastic/Nodular Medulloblastoma			CNS/Brain	DMBL
MLNPDGFRB	LightSalmon	Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement	Leukemia	C3472621	C84276	Hematopoietic	MLNER
ANKL	LimeGreen	Aggressive NK-Cell Leukemia	Mature T and NK Neoplasms	C1292777	C8647	Hematopoietic	MTNL
ETT	PeachPuff	Epithelioid Trophoblastic Tumor	Gestational Trophoblastic Disease	C1266159	C6900	Uterus	GTD
GTD	PeachPuff	Gestational Trophoblastic Disease	Gestational Trophoblastic Disease	C1135868	C4699	Uterus	UTERUS
MDEP	Gray	Medulloepithelioma	Embryonal Tumor	C0334596	C4327	CNS/Brain	EMBT
BCC	Black	Basal Cell Carcinoma	Skin Cancer, Non-Melanoma	C0007117	C2921	Skin	SKIN
CHOS	White	Chondroblastic Osteosarcoma	Bone Cancer	C0279603	C4021	Bone	OS
HGNET	Gray	High-Grade Neuroepithelial Tumor	Miscellaneous Brain Tumor			CNS/Brain	MBT
SPDAC	LightSkyBlue	Poorly Differentiated Carcinoma of the Stomach	Esophagogastric Cancer			Esophagus/Stomach	USTAD
CML	LightSalmon	Chronic Myeloid Leukemia	Myeloproliferative Neoplasms	C0023470	C3172	Hematopoietic	MPN
MPN	LightSalmon	Myeloproliferative Neoplasms	Myeloproliferative Neoplasms	C1292778	C4345	Hematopoietic	MNM
BEC	Gray	Embryonal Carcinoma	Germ Cell Tumor	C1333377	C7010	CNS/Brain	BGCT
CEVG	Teal	Villoglandular Carcinoma	Cervical Cancer	C1516425	C40208	Cervix	CEAD
CEAD	Teal	Cervical Adenocarcinoma	Cervical Cancer	C0279672	C4029	Cervix	CERVIX
IMTB	Yellow	Inflammatory Myofibroblastic Bladder Tumor	Bladder Cancer	C1336891	C6177	Bladder/Urinary Tract	BLADDER
RLCLC	Gainsboro	Large Cell Lung Carcinoma With Rhabdoid Phenotype	Non-Small Cell Lung Cancer	C1265997	C6876	Lung	LCLC
AMBLSHH	Gray	Anaplastic Medulloblastoma, SHH Subtype	Large Cell/Anaplastic Medulloblastoma			CNS/Brain	AMBL
MLNFGFR1	LightSalmon	Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement	Leukemia	C2827356	C84277	Hematopoietic	MLNER
PBS	HotPink	Breast Sarcoma	Breast Sarcoma	C0349667	C4670	Breast	BREAST
CSCC	Black	Cutaneous Squamous Cell Carcinoma	Skin Cancer, Non-Melanoma	C0553723	C4819	Skin	SKIN
PSTT	PeachPuff	Placental Site Trophoblastic Tumor	Gestational Trophoblastic Disease	C0206666	C3757	Uterus	GTD
LGNET	Gray	Polymorphous Low-Grade Neuroepithelial Tumor of the Young	Glioma			CNS/Brain	PDIFLG
LECLC	Gainsboro	Lymphoepithelioma-like Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1708792	C45519	Lung	LCLC
GMN	Gray	Germinoma	Germ Cell Tumor	C0206660	C3753	CNS/Brain	BGCT
SSRCC	LightSkyBlue	Signet Ring Cell Carcinoma of the Stomach	Esophagogastric Cancer	C1335965	C5250	Esophagus/Stomach	USTAD
URMM	Yellow	Mucosal Melanoma of the Urethra	Melanoma			Bladder/Urinary Tract	BLADDER
MMB	Gray	Medullomyoblastoma	Embryonal Tumor	C0205833	C3706	CNS/Brain	EMBT
CEAS	Teal	Cervical Adenosquamous Carcinoma	Cervical Cancer	C0346202	C4519	Cervix	CERVIX
HCCIHCH	MediumSeaGreen	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hepatobiliary Cancer	C0221287	C3828	Liver	LIVER
UTERUS	PeachPuff	Uterus	Uterine Cancer	C0042149	C12405	Tissue	TISSUE
EPDCA	LightSkyBlue	Esophageal Poorly Differentiated Carcinoma	Esophagogastric Cancer			Esophagus/Stomach	STOMACH
HCL	LimeGreen	Hairy Cell Leukemia	B-Cell Lymphoid Proliferations and Lymphomas	C0023443	C7402	Hematopoietic	SBLU
CELI	Teal	Cervical Leiomyosarcoma	Cervical Cancer			Cervix	CERVIX
BIMT	Gray	Immature Teratoma	Germ Cell Tumor	C1332883	C7014	CNS/Brain	BGCT
LUAD	Gainsboro	Lung Adenocarcinoma	Non-Small Cell Lung Cancer	C0152013	C3512	Lung	NSCLC
DF	Black	Dermatofibroma	Skin Cancer, Non-Melanoma	C0002991	C6801	Skin	SKIN
SRCBC	Yellow	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	Bladder Cancer	C1512742	C39823	Bladder/Urinary Tract	BLADDER
MMBL	Gray	Melanotic Medulloblastoma	Embryonal Tumor	C1275668	C9497	CNS/Brain	EMBT
BA	HotPink	Breast Angiosarcoma	Breast Sarcoma	C1332614	C5184	Breast	PBS
MYCF	LimeGreen	Mycosis Fungoides	Mature T and NK Neoplasms	C0026948	C3246	Hematopoietic	PCTLPL
AMBLNWSG3	Gray	Anaplastic Medulloblastoma, Group 3	Large Cell/Anaplastic Medulloblastoma			CNS/Brain	AMBLNWS
TLGL	LimeGreen	T-Large Granular Lymphocytic Leukemia	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1955861	C4664	Hematopoietic	MTNL
