primary	secondary	tertiary	quaternary	quinternary	metamaintype	metacolor	metanci	metaumls	metanccn
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Adenoid Cystic Breast Cancer (ACBC)			Breast Cancer	HotPink	C5130	C1332167	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Carcinoma with Signet Ring (BRSRCC)			Breast Cancer	HotPink	C5175	C1335964	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Cancer, NOS (BRCANOS)			Breast Cancer	HotPink			Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Carcinoma, NOS (BRCNOS)			Breast Cancer	HotPink			Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Carcinosarcoma, NOS (CSNOS)			Breast Cancer	HotPink	C40364	C1513365	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)			Breast Cancer	HotPink	C4194	C1134719	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Lobular Carcinoma (ILC)			Breast Cancer	HotPink	C7950	C0279565	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Mixed Ductal and Lobular Carcinoma (MDLC)			Breast Cancer	HotPink	C5160	CL007210	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Mixed Mucinous Carcinoma (IMMC)			Breast Cancer	HotPink	C40347	C1517577	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Solid Papillary Carcinoma of the Breast (SPC)			Breast Cancer	HotPink	C6870	C1336027	Breast Cancer
Breast (BREAST)	Inflammatory Breast Cancer (IBC)				Breast Cancer	HotPink	C4001	C0278601	Breast Cancer
Breast (BREAST)	Breast Lobular Carcinoma In Situ (LCIS)				Breast Cancer	HotPink	C4018	C0279563	Breast Cancer
Breast (BREAST)	Breast Neoplasm, NOS (BNNOS)				Breast Cancer	HotPink	C2910	C1458155	
Breast (BREAST)	Metaplastic Breast Cancer (MBC)				Breast Cancer	HotPink	C5164	C1334708	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)			Breast Cancer	HotPink	C40364	C1513365	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Adenocarcinoma with Spindle Cell Differentiation (MASCC)		Breast Cancer	HotPink	C40360	C1511281	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Adenosquamous Carcinoma (MASC)		Breast Cancer	HotPink	C5163	C1332613	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Squamous Cell Carcinoma (MSCC)		Breast Cancer	HotPink	C6987	C1333319	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Mixed Type Metaplastic Breast Cancer (MMBC)			Breast Cancer	HotPink	C40364	C1513365	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Mixed Type Metaplastic Breast Cancer (MMBC)	Carcinoma with Chondroid Metaplasia (CCHM)		Breast Cancer	HotPink	C47847	C1707042	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Mixed Type Metaplastic Breast Cancer (MMBC)	Carcinoma with Osseous Metaplasia (COM)		Breast Cancer	HotPink	C47848	C1711312	Breast Cancer
Breast (BREAST)	Metaplastic Breast Cancer (MBC)	Mixed Type Metaplastic Breast Cancer (MMBC)	Metaplastic Carcinosarcoma (MCS)		Breast Cancer	HotPink			Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)				Breast Sarcoma	HotPink	C40405	C1511309	Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)	Fibroadenoma (FA)			Breast Sarcoma	HotPink	C3744	C0206650	Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)	Phyllodes Tumor of the Breast (PT)			Breast Sarcoma	HotPink	C7575	C0238031	Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)	Phyllodes Tumor of the Breast (PT)	Benign Phyllodes Tumor of the Breast (BPT)		Breast Sarcoma	HotPink	C5196	C1332533	Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)	Phyllodes Tumor of the Breast (PT)	Borderline Phyllodes Tumor of the Breast (BLPT)		Breast Sarcoma	HotPink	C5316	C1332592	Breast Cancer
Breast (BREAST)	Breast Fibroepithelial Neoplasms (BFN)	Phyllodes Tumor of the Breast (PT)	Malignant Phyllodes Tumor of the Breast (MPT)		Breast Sarcoma	HotPink	C4504	C0346154	Breast Cancer
Breast (BREAST)	Breast Sarcoma (PBS)				Breast Sarcoma	HotPink	C4670	C0349667	
Breast (BREAST)	Breast Sarcoma (PBS)	Breast Angiosarcoma (BA)			Breast Sarcoma	HotPink	C5184	C1332614	
Peripheral Nervous System (PNS)	Nerve Sheath Tumor (NST)	Malignant Peripheral Nerve Sheath Tumor (MPNST)			Nerve Sheath Tumor	Gray	C3798	C0751690	
Peripheral Nervous System (PNS)	Nerve Sheath Tumor (NST)	Neurofibroma (NFIB)			Nerve Sheath Tumor	Gray	C3272	C0027830	
Peripheral Nervous System (PNS)	Nerve Sheath Tumor (NST)	Schwannoma (SCHW)			Nerve Sheath Tumor	Gray	C3269	C0027809	
Peripheral Nervous System (PNS)	Nerve Sheath Tumor (NST)	Schwannoma (SCHW)	Cellular Schwannoma (CSCHW)		Nerve Sheath Tumor	Gray	C4724	C0431124	
Peripheral Nervous System (PNS)	Nerve Sheath Tumor (NST)	Schwannoma (SCHW)	Melanotic Schwannoma (MSCHW)		Nerve Sheath Tumor	Gray	C6970	C1306247	
Cervix (CERVIX)	Cervical Adenocarcinoma In Situ (CEAIS)				Cervical Cancer	Teal	C4520	C0346203	
Cervix (CERVIX)	Cervical Adenoid Basal Carcinoma (CABC)				Cervical Cancer	Teal	C40213	C1516403	Cervical Cancer
Cervix (CERVIX)	Cervical Adenoid Cystic Carcinoma (CACC)				Cervical Cancer	Teal	C6346	C1332911	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)				Cervical Cancer	Teal	C4029	C0279672	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Cervical Clear Cell Carcinoma (CECC)			Cervical Cancer	Teal	C6344	C1332912	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Cervical Endometrioid Carcinoma (CEEN)			Cervical Cancer	Teal	C6343	C1332913	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Cervical Serous Carcinoma (CESE)			Cervical Cancer	Teal	C40201	C1516431	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Endocervical Adenocarcinoma (ECAD)			Cervical Cancer	Teal	C127907	CL508738	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Mesonephric Carcinoma (CEMN)			Cervical Cancer	Teal	C40254	C1516419	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Mucinous Carcinoma (CEMU)			Cervical Cancer	Teal	C36095	C1332919	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Mucinous Carcinoma (CEMU)	Gastric Type Mucinous Carcinoma (GCEMU)		Cervical Cancer	Teal	C127905	CL509705	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Mucinous Carcinoma (CEMU)	Intestinal Type Mucinous Carcinoma (ICEMU)		Cervical Cancer	Teal	C40203	C1516422	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Mucinous Carcinoma (CEMU)	Signet Ring Mucinous Carcinoma (SCEMU)		Cervical Cancer	Teal	C40205	C1516424	Cervical Cancer
Cervix (CERVIX)	Cervical Adenocarcinoma (CEAD)	Villoglandular Carcinoma (CEVG)			Cervical Cancer	Teal	C40208	C1516425	Cervical Cancer
Cervix (CERVIX)	Cervical Adenosquamous Carcinoma (CEAS)				Cervical Cancer	Teal	C4519	C0346202	Cervical Cancer
Cervix (CERVIX)	Cervical Leiomyosarcoma (CELI)				Cervical Cancer	Teal	C128047	CL509701	Cervical Cancer
Cervix (CERVIX)	Cervical Neuroendocrine Tumor (CENE)				Cervical Cancer	Teal	C128041	CL509706	Cervical Cancer
Cervix (CERVIX)	Cervical Rhabdomyosarcoma (CERMS)				Cervical Cancer	Teal	C128048	CL509707	Cervical Cancer
Cervix (CERVIX)	Cervical Squamous Cell Carcinoma (CESC)				Cervical Cancer	Teal	C4028	C0279671	Cervical Cancer
Cervix (CERVIX)	Glassy Cell Carcinoma of the Cervix (CEGCC)				Cervical Cancer	Teal		C2012072	Cervical Cancer
Cervix (CERVIX)	Mixed Cervical Carcinoma (MCCE)				Cervical Cancer	Teal			
Cervix (CERVIX)	Small Cell Carcinoma of the Cervix (SCCE)				Cervical Cancer	Teal	C7982	C0279674	Cervical Cancer
Cervix (CERVIX)	Villoglandular Adenocarcinoma of the Cervix (VGCE)				Cervical Cancer	Teal	C40208	C1516425	Cervical Cancer
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)				Esophagogastric Cancer	LightSkyBlue	C9296	C1332166	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Adenocarcinoma of the Gastroesophageal Junction (GEJ)			Esophagogastric Cancer	LightSkyBlue	C9296	C1332166	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Adenosquamous Carcinoma of the Stomach (STAS)			Esophagogastric Cancer	LightSkyBlue	C5474	C1333761	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Esophageal Adenocarcinoma (ESCA)			Esophagogastric Cancer	LightSkyBlue	C4025	C0279628	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Gastric Remnant Adenocarcinoma (GRC)			Esophagogastric Cancer	LightSkyBlue			Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Small Cell Carcinoma of the Stomach (STSC)			Esophagogastric Cancer	LightSkyBlue	C6764	C1333788	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)			Esophagogastric Cancer	LightSkyBlue	C4004	C0278701	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	Diffuse Type Stomach Adenocarcinoma (DSTAD)		Esophagogastric Cancer	LightSkyBlue	C9159	C0279635	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	Intestinal Type Stomach Adenocarcinoma (ISTAD)		Esophagogastric Cancer	LightSkyBlue	C9157	C0279633	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	Mucinous Stomach Adenocarcinoma (MSTAD)		Esophagogastric Cancer	LightSkyBlue	C5248	C1334809	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	Papillary Stomach Adenocarcinoma (PSTAD)		Esophagogastric Cancer	LightSkyBlue	C5472	C1333785	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	Tubular Stomach Adenocarcinoma (TSTAD)		Esophagogastric Cancer	LightSkyBlue	C5473	C1333791	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Undifferentiated Stomach Adenocarcinoma (USTAD)			Esophagogastric Cancer	LightSkyBlue	C5476	C1336858	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Undifferentiated Stomach Adenocarcinoma (USTAD)	Poorly Differentiated Carcinoma of the Stomach (SPDAC)		Esophagogastric Cancer	LightSkyBlue			Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophagogastric Adenocarcinoma (EGC)	Undifferentiated Stomach Adenocarcinoma (USTAD)	Signet Ring Cell Carcinoma of the Stomach (SSRCC)		Esophagogastric Cancer	LightSkyBlue	C5250	C1335965	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophageal Poorly Differentiated Carcinoma (EPDCA)				Esophagogastric Cancer	LightSkyBlue	C95619	C2987262	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Esophageal Squamous Cell Carcinoma (ESCC)				Esophagogastric Cancer	LightSkyBlue	C4024	C0279626	Esophageal and Esophagogastric Junction Cancers
Esophagus/Stomach (STOMACH)	Mucosal Melanoma of the Esophagus (ESMM)				Melanoma	LightSkyBlue	C5707	C1333460	Melanoma
Esophagus/Stomach (STOMACH)	Smooth Muscle Neoplasm, NOS (SMN)				Esophagogastric Cancer	LightSkyBlue	C3751	C0206658	
Eye (EYE)	Retinoblastoma (RBL)				Retinoblastoma	Green	C7541	C0035335	
Eye (EYE)	Ocular Melanoma (OM)				Melanoma	Green	C8562	C0558356	Melanoma
Eye (EYE)	Ocular Melanoma (OM)	Uveal Melanoma (UM)			Melanoma	Green	C7712	C0220633	Melanoma
Eye (EYE)	Ocular Melanoma (OM)	Conjunctival Melanoma (CM)			Melanoma	Green	C4550	C0346360	Melanoma
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)				Head and Neck Cancer	DarkRed	C35850	C3887461	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Epithelial-Myoepithelial Carcinoma (EMYOCA)			Head and Neck Cancer	DarkRed	C35701	C1335900	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Head and Neck Neuroendocrine Carcinoma (HNNE)			Head and Neck Cancer	DarkRed			Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	NUT Midline Carcinoma of the Head and Neck (NMCHN)			Head and Neck Cancer	DarkRed	C45716	C1707291	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Odontogenic Carcinoma (ODGC)			Head and Neck Cancer	DarkRed	C4812	C0334558	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Odontogenic Carcinoma (ODGC)	Clear Cell Odontogenic Carcinoma (CCOC)		Head and Neck Cancer	DarkRed	C54300	C0475829	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Sinonasal Adenocarcinoma (SNA)			Head and Neck Cancer	DarkRed	C116316	C3898709	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Carcinoma, Other (OHNCA)	Sinonasal Undifferentiated Carcinoma (SNUC)			Head and Neck Cancer	DarkRed	C54294	C1710096	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Mucosal Melanoma (HNMUCM)				Melanoma	DarkRed			Melanoma
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)				Head and Neck Cancer	DarkRed	C34447	C1168401	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Head and Neck Squamous Cell Carcinoma of Unknown Primary (HNSCUP)			Head and Neck Cancer	DarkRed			Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Hypopharynx Squamous Cell Carcinoma (HPHSC)			Head and Neck Cancer	DarkRed	C4043	C0280321	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Oral Cavity Squamous Cell Carcinoma (OCSC)			Head and Neck Cancer	DarkRed	C4833	C0585362	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Oropharynx Squamous Cell Carcinoma (OPHSC)			Head and Neck Cancer	DarkRed	C8181	CL497390	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Larynx Squamous Cell Carcinoma (LXSC)			Head and Neck Cancer	DarkRed	C4044	C0280324	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)	Sinonasal Squamous Cell Carcinoma (SNSC)			Head and Neck Cancer	DarkRed	C68611	C0280332	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Nasopharyngeal Carcinoma (NPC)				Head and Neck Cancer	DarkRed	C3871	C2931822	Head and Neck Cancers
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)				Salivary Gland Cancer	DarkRed	C9272	C0948750	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Acinic Cell Carcinoma (ACCC)			Salivary Gland Cancer	DarkRed	C8013	C0279738	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Adenoid Cystic Carcinoma (ACYC)			Salivary Gland Cancer	DarkRed	C8026	C0279751	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin (HNMASC)			Salivary Gland Cancer	DarkRed	C123384	CL512709	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Mucoepidermoid Carcinoma (MUCC)			Salivary Gland Cancer	DarkRed	C5908	C1335903	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Myoepithelial Carcinoma (MYEC)			Salivary Gland Cancer	DarkRed	C35700	C1335904	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Salivary Adenocarcinoma (SAAD)			Salivary Gland Cancer	DarkRed	C8021	C0279746	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Salivary Carcinoma, Other (OSACA)			Salivary Gland Cancer	DarkRed	C62191	C1882971	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Salivary Duct Carcinoma (SDCA)			Salivary Gland Cancer	DarkRed	C5904	C1301194	
Head and Neck (HEAD_NECK)	Salivary Carcinoma (SACA)	Salivary Gland Oncocytoma (SGO)			Salivary Gland Cancer	DarkRed	C5932	C1335906	
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)			Renal Cell Carcinoma	Orange	C4033	C0279702	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	Renal Clear Cell Carcinoma with Sarcomatoid Features (SCCRCC)		Renal Cell Carcinoma	Orange	C27893	C1266043	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)			Renal Cell Carcinoma	Orange			Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Chromophobe Renal Cell Carcinoma (CHRCC)		Renal Cell Carcinoma	Orange	C4146	C1266042	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Clear Cell Papillary Renal Cell Carcinoma (CCPRC)		Renal Cell Carcinoma	Orange		C1720430	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Collecting Duct Renal Cell Carcinoma (CDRCC)		Renal Cell Carcinoma	Orange	C6194	C1266044	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Papillary Renal Cell Carcinoma (PRCC)		Renal Cell Carcinoma	Orange	C6975	C1306837	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Angiomyolipoma (RAML)		Renal Cell Carcinoma	Orange	C3888	C0241961	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Medullary Carcinoma (MRC)		Renal Cell Carcinoma	Orange	C7572	C4049328	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Mucinous Tubular Spindle Cell Carcinoma (MTSCC)		Renal Cell Carcinoma	Orange	C39807	C1513719	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Oncocytoma (ROCY)		Renal Cell Carcinoma	Orange	C4526	C0346255	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Small Cell Carcinoma (RSCC)		Renal Cell Carcinoma	Orange	C116317	C2212425	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Sarcomatoid Renal Cell Carcinoma (SRCC)		Renal Cell Carcinoma	Orange	C27893	C1266043	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Unclassified Renal Cell Carcinoma (URCC)		Renal Cell Carcinoma	Orange	C27892	C1336853	Kidney Cancer
Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Translocation-Associated Renal Cell Carcinoma (TRCC)		Renal Cell Carcinoma	Orange	C27891	C1337036	Kidney Cancer
Kidney (KIDNEY)	Wilms' Tumor (WT)				Wilms Tumor	Orange	C3267	CL505178	
Kidney (KIDNEY)	Wilms' Tumor (WT)	Rhabdoid Cancer (MRT)			Wilms Tumor	Orange	C3808	C0206743	
Liver (LIVER)	Fibrolamellar Carcinoma (FLC)				Hepatobiliary Cancer	MediumSeaGreen	C4131	C0334287	Hepatobiliary Cancers
Liver (LIVER)	Hepatoblastoma (LIHB)				Hepatobiliary Cancer	MediumSeaGreen	C3728	C0206624	Hepatobiliary Cancers
Liver (LIVER)	Hepatocellular Adenoma (LIAD)				Hepatobiliary Cancer	MediumSeaGreen	C3758	C0206669	Hepatobiliary Cancers
Liver (LIVER)	Hepatocellular Carcinoma (HCC)				Hepatobiliary Cancer	MediumSeaGreen	C3099	C0019204	Hepatobiliary Cancers
Liver (LIVER)	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma (HCCIHCH)				Hepatobiliary Cancer	MediumSeaGreen	C3828	C0221287	Hepatobiliary Cancers
Liver (LIVER)	Liver Angiosarcoma (LIAS)				Hepatobiliary Cancer	MediumSeaGreen	C4438	C0345907	Hepatobiliary Cancers
Liver (LIVER)	Malignant Nonepithelial Tumor of the Liver (LIMNET)				Hepatobiliary Cancer	MediumSeaGreen			Hepatobiliary Cancers
Lung (LUNG)	Combined Small Cell Lung Carcinoma (CSCLC)				Small Cell Lung Cancer	Gainsboro	C9137	C0334240	Small Cell Lung Cancer
Lung (LUNG)	Inflammatory Myofibroblastic Lung Tumor (IMTL)				Non-Small Cell Lung Cancer	Gainsboro	C39740	C1518038	Non-Small Cell Lung Cancer
Lung (LUNG)	Lung Adenocarcinoma In Situ (LAIS)				Non-Small Cell Lung Cancer	Gainsboro	C8758	C0854984	
Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)				Non-Small Cell Lung Cancer	Gainsboro	C5670	C1334452	Non-Small Cell Lung Cancer
Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)	Atypical Lung Carcinoid (ALUCA)			Non-Small Cell Lung Cancer	Gainsboro	C45551	C1708766	Non-Small Cell Lung Cancer
Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)	Large Cell Neuroendocrine Carcinoma (LUNE)			Non-Small Cell Lung Cancer	Gainsboro	C6875	C1265996	Non-Small Cell Lung Cancer
Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)	Lung Carcinoid (LUCA)			Non-Small Cell Lung Cancer	Gainsboro	C4038	C0280089	Non-Small Cell Lung Cancer
Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)	Small Cell Lung Cancer (SCLC)			Small Cell Lung Cancer	Gainsboro	C4917	C0149925	Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)				Non-Small Cell Lung Cancer	Gainsboro	C2926	C0007131	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Ciliated Muconodular Papillary Tumor of the Lung (CMPT)			Non-Small Cell Lung Cancer	Gainsboro			Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)			Non-Small Cell Lung Cancer	Gainsboro	C4450	C0345958	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)	Basaloid Large Cell Carcinoma of the Lung (BLCLC)		Non-Small Cell Lung Cancer	Gainsboro	C7266	C1332463	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)	Clear Cell Carcinoma of the Lung (CCLC)		Non-Small Cell Lung Cancer	Gainsboro	C4451	C1707407	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)	Giant Cell Carcinoma of the Lung (GCLC)		Non-Small Cell Lung Cancer	Gainsboro	C4452	C0345960	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)	Large Cell Lung Carcinoma With Rhabdoid Phenotype (RLCLC)		Non-Small Cell Lung Cancer	Gainsboro	C6876	C1265997	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)	Lymphoepithelioma-like Carcinoma of the Lung (LECLC)		Non-Small Cell Lung Cancer	Gainsboro	C45519	C1708792	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)			Non-Small Cell Lung Cancer	Gainsboro	C3512	C0152013	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenosquamous Carcinoma (LUAS)			Non-Small Cell Lung Cancer	Gainsboro	C9133	C0279557	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)			Non-Small Cell Lung Cancer	Gainsboro	C3493	C0149782	Non-Small Cell Lung Cancer
